SMILES,NumberOfAtom,Complement,PCE,VOC,JSC,FF,HOMO_Th,LUMO_Th,BandGap_Th
Cc1ccc(-c2sc(-c3ccc(-c4ccc(N(c5ccc(-c6ccc(-c7sc(-c8ccc(C)s8)c8c7OCCO8)s6)cc5)c5ccc(-c6ccc(-c7sc(-c8ccc(C)s8)c8c7OCCO8)s6)cc5)cc4)s3)c3c2OCCO3)s1,3,PC61BM,0.04,0.43,0.4,22,-0.173666667,-0.07,-0.103666667
CC1(C)c2cc(-c3ccc(-c4ccc(C=C(C#N)C#N)s4)s3)ccc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,15,PC61BM,1.56,0.89,4.92,36,-0.202333333,-0.117866667,-0.084466667
Cc1nc2c3ccsc3c3sc(-c4ccc(-c5cnc(C6=S=CC=C6)c6nsnc65)s4)cc3c2nc1C,16,PC61BM,5.57,0.75,13.49,55.1,-0.202875,-0.1165625,-0.0863125
COc1c2ccsc2c(OC)c2cc(-c3cc(C)c(-c4sc(-c5sccc5C)c5c4C(=O)N(C)C5=O)s3)sc21,17,PC61BM,3.9,0.89,7.6,57,-0.202058824,-0.089294118,-0.112764706
Cc1ccsc1-c1sc(-c2sc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)cc2C)c2nc3c(nc21)-c1cccc2cccc-3c12,14,PC61BM,0.72,0.595,2.5,48,-0.193,-0.095285714,-0.097714286
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4ccc5c6ccc(-c7cc(C)c(-c8ccc(-c9sc(C=C(C#N)C(=O)OC)cc9C)s8)s7)cc6n(C)c5c4)cc3C)s2)s1,20,PC61BM,3.63,0.97,6.15,61,-0.2018,-0.11035,-0.09145
C=Cc1sccc1C(=O)OC,4,PC61BM,2.01,0.86,5.47,43,-0.23825,-0.06725,-0.171
COC(=O)c1sc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2c1F,11,PC61BM,7.2,0.74,14.1,68.9,-0.204727273,-0.091818182,-0.112909091
Cc1cc2c3ccsc3c3sc(-c4ccc(-c5cnc(-c6cccs6)c6nsnc65)s4)cc3c2cc1C,18,PC61BM,6.2,0.71,14.16,61.7,-0.199,-0.116,-0.083
CC(=O)c1sc2csc(-c3cc4c(s3)c(C)c3ccsc3c4C)c2c1F,8,PC61BM,3.9,0.86,7.3,62,-0.207375,-0.095625,-0.11175
Cc1cc(C=C2C(=O)c3ccccc3C2=O)sc1-c1cc(C)c(-c2cc(C)c(-c3ccc(-c4sc(-c5sc(C6=S=C(C=C7C(=O)c8ccccc8C7=O)C=C6C)cc5C)cc4C)s3)s2)s1,20,PC61BM,4.93,0.8,8.56,72,-0.1927,-0.1135,-0.0792
COc1ccc(C=Cc2ccc(C=Cc3cc(C)c(C=Cc4ccc(C=Cc5cc(C)c(C=Cc6ccc(C=Cc7cc(C)c(C=O)cc7C)s6)cc5C)s4)cc3C)s2)cc1,4,PC61BM,0.47,0.5,2.64,34,-0.18525,-0.0995,-0.08575
c1csc(-c2cc(-c3cccs3)c(-c3cccs3)s2)c1,6,PC61BM,0.61,0.568,3.22,33,-0.207833333,-0.066166667,-0.141666667
Cn1c2ccsc2c2sc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,17,PC61BM,2.17,0.52,9.47,44,-0.189882353,-0.104,-0.085882353
CC(=O)c1cc2c(csc2-c2cc3c(s2)c(C)c2ccsc2c3C)s1,6,PC61BM,4.7,0.77,9.5,64,-0.205,-0.093166667,-0.111833333
Cc1c2ccsc2c(C)c2cc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)sc21,15,PC61BM,6.32,0.85,12.78,58.2,-0.201066667,-0.116933333,-0.084133333
COc1c2cc(C)sc2c(OC)c2cc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(C)C5=O)s3)sc21,17,PC61BM,0.9,0.76,2.9,43,-0.199588235,-0.094352941,-0.105235294
COc1c2ccsc2c(OC)c2cc(-c3sc(-c4sc(-c5cc(C)cs5)c5c4C(=O)N(C)C5=O)cc3C)sc21,13,PC61BM,3.1,0.92,2.3,34,-0.198384615,-0.094076923,-0.104307692
Cn1c2ccccc2c2ccc(-c3ccc(-c4cnc(-c5cccs5)c5nsnc54)s3)cc21,16,PC61BM,0.7,0.71,2.9,32,-0.2031875,-0.1136875,-0.0895
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C6=C(c7ccccc7)C(c7ccccc7)=C(c7ccc(-c8ccc(C9=S=CC=C9)s8)s7)[Si]6(C)C)s5)s4)s3)cc21,17,PC61BM,1.67,0.75,4.57,48.6,-0.179882353,-0.094823529,-0.085058824
COC(=O)C(C#N)=Cc1cc(C)c(-c2ccc(-c3sc(-c4cc5c(s4)-c4sc(-c6cc(C)c(-c7ccc(C8=S=C(C=C(C#N)C(=O)OC)C=C8C)s7)s6)cc4[Si]5(C)C)cc3C)s2)s1,20,PC61BM,5.84,0.8,11.51,64,-0.1937,-0.1138,-0.0799
C=Cc1ccc2c3ccc(C=Cc4sc(-c5ccc(-c6ccc(-c7cc(C)cs7)s6)s5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,18,PC61BM,0.2,0.5,0.76,43,-0.185166667,-0.084777778,-0.100388889
Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1,3,PC61BM,1,0.84,2.96,40,-0.187,-0.094,-0.093
C=Cc1ccc2c3ccc(C=Cc4ccc(-c5ccc(C6=C(C)C(C)=C(c7ccc(-c8cccs8)s7)S6(=O)=O)s5)s4)cc3n(-c3ccc(OC)cc3)c2c1,20,PC61BM,0.8,0.8,1.56,55,-0.19095,-0.1025,-0.08845
C=Cc1ccc2c3ccc(C=Cc4sc(-c5cc(C)cs5)cc4C)cc3n(-c3ccc(OC)cc3)c2c1,13,PC61BM,0.3,0.55,0.86,48,-0.19,-0.073153846,-0.116846154
O=C1c2ccccc2C(=O)C1=Cc1ccc(-c2ccc(N(c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)c3ccc(-c4ccc(C=Cc5cccs5)s4)cc3)cc2)s1,18,PC61BM,0.81,0.66,4.1,30,-0.192,-0.103944444,-0.088055556
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccs8)s7)c7nsnc76)s5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,18,PC61BM,3.87,0.84,8.7,53,-0.185555556,-0.107944444,-0.077611111
Cc1cc[se]c1,1,PC61BM,2.7,0.52,,,-0.24,-0.016,-0.224
C#Cc1cc(OC)c(C#Cc2scc3nc(-c4ccccc4)c(-c4ccccc4)nc32)cc1OC,12,PC61BM,1.34,0.7,4.45,43,-0.203,-0.099,-0.104
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(C5=C(c6ccccc6)C(c6ccccc6)=C(c6ccc(-c7cccs7)s6)[Si]5(C)C)s4)s3)cc21,15,PC61BM,1.51,0.75,4.68,44.5,-0.1822,-0.090266667,-0.091933333
Cc1cc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cccs5)s4)cc3c3nsnc32)sc1-c1cccs1,18,PC61BM,6.3,0.76,12,69,-0.197611111,-0.115,-0.082611111
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc32)s1,12,PC71BM,6.6,0.73,14,65,-0.191583333,-0.10575,-0.085833333
CN1C(=O)C2=C(c3ccc(C#Cc4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(C#Cc2cc3ccccc3c3ccccc23)s1,19,PC71BM,1.72,0.77,3.92,57,-0.192894737,-0.113263158,-0.079631579
CN1C(=O)C2=C(c3ccc(-c4ccco4)o3)N(C)C(=O)C2=C1c1ccco1,4,PC71BM,4.1,,,,-0.18925,-0.097,-0.09225
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)sc1-c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)s1,19,PC71BM,1.27,0.81,4.69,33.5,-0.188052632,-0.088894737,-0.099157895
COc1cc2c3ccsc3c3sc(-c4cccc5nsnc54)cc3c2cc1OC,17,PC71BM,0.62,0.66,2.76,34,-0.209,-0.100823529,-0.108176471
CC1=CC(c2cc(C)c(-c3sc(-c4cc(C)c(-c5nc6scnc6s5)s4)cc3C)s2)=S=C1,15,PC71BM,2.7,0.93,5.94,48.9,-0.196333333,-0.089933333,-0.1064
CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5c5ccccc45)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3c3ccccc23)s1,16,PC71BM,0.69,0.92,2.79,27,-0.1920625,-0.10225,-0.0898125
Cc1ccc(-c2c3cc(-c4sc5cc(-c6ccc(-c7csc8c(C)csc78)c7nsnc76)sc5c4C)sc3c(-c3ccc(C)s3)c3ccsc32)s1,15,PC71BM,6.03,0.78,12.46,62,-0.195066667,-0.106133333,-0.088933333
COc1c2sccc2c2cc(-c3ccc(-c4sc(-c5nc(C)c(-c6cccs6)s5)nc4C)s3)sc2c1OC,13,PC71BM,2.81,0.88,5.2,61.3,-0.197076923,-0.093,-0.104076923
COc1c(OC)c(-c2ccc(-c3ccc4c(c3)C(C)(C)c3ccccc3-4)s2)c2nsnc2c1-c1cccs1,17,PC71BM,3.1,0.97,6.7,47,-0.197411765,-0.099,-0.098411765
Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4C5(C)C)s3)nn2)c1,6,PC71BM,5.53,0.75,12.5,59,-0.198833333,-0.094666667,-0.104166667
COc1c2cc(-c3cccs3)sc2c(OC)c2ccsc21,4,PC71BM,1.59,0.75,3.78,56,-0.20225,-0.0645,-0.13775
Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(C)sc(C)c5C6=O)s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,20,PC71BM,6.67,0.86,10.68,72.27,-0.1979,-0.0958,-0.1021
COc1c(OC)c(-c2ccc(-c3ccc4c5ccccc5n(C)c4c3)s2)c2nsnc2c1-c1cccs1,16,PC71BM,5.4,0.81,9.6,69,-0.1969375,-0.0985625,-0.098375
CN1C(=O)C2=C(c3cc4sccc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,3,PC71BM,3,0.57,8.9,59,-0.194666667,-0.104,-0.090666667
COc1c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc2c(OC)c2cc(-c3cc(C)c(-c4ccc(-c5sc(C=C6SC(=S)N(C)C6=O)cc5C)s4)s3)sc21,1,PC71BM,6.92,0.93,11.4,65.3,-0.192,-0.111,-0.081
Cc1cc2c3cc(C)sc3c3nc4c(cccc4-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)nc3c2s1,17,PC71BM,2.1,0.85,4.7,51,-0.198647059,-0.096941176,-0.101705882
Cc1ccc(-c2c3cc(-c4cc5sc(C6=C7C(=O)N(C)C(c8cc9sccc9s8)=C7C(=O)N6C)cc5s4)sc3c(-c3ccc(C)s3)c3ccsc32)s1,18,PC71BM,6.18,0.63,16.25,60,-0.190166667,-0.107555556,-0.082611111
COC(=O)c1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,15,PC71BM,7.4,0.74,14.5,69,-0.204466667,-0.0852,-0.119266667
Cc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)sc3c(-c3ccc(C)cc3)c3ccsc32)cc1,15,PC71BM,6.2,0.76,13.6,60,-0.191,-0.104666667,-0.086333333
CC(=O)c1cc2c(csc2-c2cc3c(s2)c2sccc2c(C)c3C)s1,4,PC71BM,5.21,0.82,11.76,54.1,-0.20825,-0.0915,-0.11675
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccs3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,2,PC71BM,3.28,0.8,7.6,54,-0.192,-0.067,-0.125
CN1C(=O)C2=C(c3ccc(-c4cccs4)s3)N(C)C(=O)C2=C1c1cccs1,12,PC71BM,4.7,0.65,11.8,60,-0.192666667,-0.102416667,-0.09025
COc1c2ccsc2c(OC)c2cc(-c3scc4c3C(=O)N(C)C4=O)sc21,7,PC71BM,5.5,0.85,9.81,66,-0.202285714,-0.089285714,-0.113
Cc1ccc(-c2nc3cccc(-c4ccc(-c5ccc6c(c5)C(C)(C)c5cc(-c7cccs7)ccc5-6)s4)c3nc2-c2ccc(C)s2)s1,16,PC71BM,4.4,0.9,7.4,59,-0.1995625,-0.0863125,-0.11325
Cc1cc2c3cc(C)sc3c3nc4c(-c5ccc(-c6ccc7c8ccccc8n(C)c7c6)s5)ccc(-c5cccs5)c4nc3c2s1,13,PC71BM,3,0.75,6.4,54,-0.194,-0.100384615,-0.093615385
COc1c2cc(-c3cc(C=Cc4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cs3)sc2c(OC)c2ccsc21,17,PC71BM,4.32,0.84,10.59,49,-0.194941176,-0.104823529,-0.090117647
Cc1ccsc1C1=NC2SC(c3sc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)cc3C)=NC2S1,16,PC71BM,5.59,0.77,11.9,61,-0.2023125,-0.0825,-0.1198125
COc1c2ccsc2c(OC)c2c1=S=C(c1sc(-c3sc(-c4nc(C)c(-c5cc(C)cs5)s4)nc3C)cc1C)C=2,13,PC71BM,2.54,0.82,6.64,46.6,-0.194384615,-0.091846154,-0.102538462
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3ccc(-c5cccs5)s3)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,15,PC71BM,2.71,0.79,7,49,-0.1884,-0.075533333,-0.112866667
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)c3nsnc32)c1,18,PC71BM,2.34,0.82,5.78,49.5,-0.193666667,-0.105388889,-0.088277778
C[Si]1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,1,PC71BM,5.9,0.57,17.3,61,-0.204,-0.098,-0.106
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2ccc(-c4nnc(-c5cccs5)nn4)s2)cc1C3(C)C,4,PC71BM,3.04,0.9,8.85,38.1,-0.198,-0.098,-0.1
CC1(C)c2ccsc2-c2sc(-c3cccc4nsnc43)cc21,1,PC71BM,3.4,0.62,11,50,-0.201,-0.098,-0.103
Cc1csc(-c2ccc(C3=C4C(=O)N(C)C(c5ccc(-c6cc(C)cs6)s5)=C4C(=O)N3C)s2)c1,16,PC71BM,4,0.61,11.3,58,-0.1870625,-0.104125,-0.0829375
C[Si]1(C)c2cc(-c3cnc(-c4cc5ccccc5s4)c4nsnc43)sc2-c2sc(-c3cnc(-c4cc5ccccc5s4)c4nsnc43)cc21,17,PC71BM,,,,,-0.198411765,-0.124411765,-0.074
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cccc5nsnc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,3,PC71BM,6.41,0.85,11.2,67.2,-0.197,-0.097,-0.1
CN1C(=O)C2=C(c3ccc(-c4cccs4)o3)N(C)C(=O)C2=C1c1ccco1,3,PC71BM,5,0.74,11.2,60,-0.19,-0.099,-0.091
COc1c(OC)c(-c2ccc(-c3ccc4c(c3)[Si](C)(C)c3ccccc3-4)s2)c2nsnc2c1-c1cccs1,15,PC71BM,6.05,0.91,11.5,58,-0.1978,-0.099,-0.0988
CC1(C)Oc2cc(-c3c4nsnc4cc(F)c3F)sc2-c2sccc21,3,PC71BM,10.2,1.51,9.8,69.2,-0.203333333,-0.106,-0.097333333
Cc1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)sc1-c1nc2sc(-c3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3C)nc2s1,17,PC71BM,3.73,0.91,9.39,43.7,-0.187529412,-0.086176471,-0.101352941
Cc1ccc(-c2c3ccsc3c(-c3ccc(C)s3)c3cc(-c4scc5cc(S(C)(=O)=O)sc54)sc32)s1,12,PC71BM,5.93,0.78,12.27,61.98,-0.202166667,-0.084,-0.118166667
COC(=O)c1cc2c(-c3cccs3)sc(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)c2s1,14,PC71BM,7.2,0.74,14.4,67.7,-0.195857143,-0.099071429,-0.096785714
Cc1csc(-c2nnc(-c3cc(C)c(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)nn2)c1,9,PC71BM,4.2,0.79,10.1,52.5,-0.201444444,-0.095666667,-0.105777778
Cc1ccc(-c2csc(-c3cc(-c4ccc(C)s4)c(-c4ccc(C5=C6C(=O)N(C)C(c7cccs7)=C6C(=O)N5C)s4)s3)c2)s1,16,PC71BM,2.4,0.65,8,46,-0.18925,-0.1038125,-0.0854375
Cc1c(-c2cccs2)sc2c(C)c(-c3ccc(-c4scc5c4C(=O)N(C)C5=O)s3)sc12,14,PC71BM,5.1,0.85,8.99,67,-0.202928571,-0.094428571,-0.1085
Cc1ccc(-c2ccc(-c3cc(F)c(-c4cc5c(s4)-c4sc(-c6c7nsnc7c(-c7ccc(-c8ccc(C)s8)s7)cc6F)cc4[Si]5(C)C)c4nsnc43)s2)s1,14,PC71BM,7,0.809,12.8,68,-0.185571429,-0.112,-0.073571429
COc1cccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5cc6c(s5)c(OC)c5ccsc5c6OC)s4)c3nc2-c2cccc(OC)c2)c1,19,PC71BM,3.06,0.71,7,61.5,-0.196263158,-0.095315789,-0.100947368
CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4C5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,13,PC71BM,2.3,0.47,10.8,45,-0.186923077,-0.102307692,-0.084615385
Cc1cc(C)c(-c2c3cc(-c4ccc(-c5ccc(-c6cccs6)c6nsnc65)s4)sc3c(-c3sc(C)cc3C)c3ccsc32)s1,18,PC71BM,5.66,0.92,10.7,57.5,-0.198,-0.107,-0.091
Cc1csc(-c2ccc(-c3cc(C)c(-c4cc5c(s4)c(-c4cc(C)c(C)s4)c4ccsc4c5-c4cc(C)c(C)s4)s3)c3nsnc32)c1,15,PC71BM,2.11,1,5.8,34.6,-0.191666667,-0.1046,-0.087066667
COCc1sc2c(csc2-c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,18,PC71BM,7.73,0.76,15.2,67,-0.199611111,-0.072055556,-0.127555556
COc1c2cc(-c3cc4c(s3)-c3sc(-c5nc6sc(-c7cc8c(s7)-c7sccc7[Si]8(C)C)nc6s5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,14,PC71BM,5.3,0.69,11.6,66,-0.19,-0.096857143,-0.093142857
COC(=O)c1cc2csc(-c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,14,PC71BM,5.6,0.56,15.6,63,-0.2015,-0.081785714,-0.119714286
Cc1csc(-c2cc3c4nsnc4c(-c4cc(C)c(-c5cc6c(s5)c(-c5cc(C)c(C)s5)c5ccsc5c6C5=S=C(C)C(C)=C5)s4)cc3c3nsnc32)c1,17,PC71BM,6,0.8,11.71,61,-0.193529412,-0.114235294,-0.079294118
COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)s3)sc(-c3cccs3)c2c1F,18,PC71BM,5.6,0.6,13.7,67.7,-0.194166667,-0.098,-0.096166667
COc1c2ccsc2c(OC)c2cc(-c3sc(-c4ccc(-c5cc(C)cs5)c5nsnc54)cc3C)sc21,16,PC71BM,7.4,0.79,13.56,69.1,-0.1948125,-0.1056875,-0.089125
Cc1ccc(-c2nc3c(-c4cccs4)ccc(-c4ccc(-c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2-c2ccc(C)s2)s1,15,PC71BM,3.5,0.88,6.6,53,-0.196066667,-0.0904,-0.105666667
COc1c2ccsc2c(OC)c2c1=S=C(c1cc(C)c(-c3ccc(-c4sc(-c5nc(C)c(-c6ccc(-c7sccc7C)s6)s5)nc4C)s3)s1)C=2,18,PC71BM,4.46,0.82,9.01,60.3,-0.190055556,-0.095,-0.095055556
CN1C(=O)C2=C(c3ccc(-c4cc5c(s4)-c4sccc4[Si]5(C)C)s3)N(C)C(=O)C2=C1c1cccs1,12,PC71BM,2.1,0.55,7.5,51,-0.188,-0.102583333,-0.085416667
C[Si]1(C)c2ccsc2-c2sc(-c3nc4sc(-c5cc6c(s5)-c5sc(-c7cc8sccc8s7)cc5[Si]6(C)C)nc4s3)cc21,12,PC71BM,0.97,0.64,2.73,56,-0.19,-0.096,-0.094
COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4ccc(OC)cc4)c4ccsc4c5-c4ccc(OC)cc4)s3)sc(-c3cccs3)c2c1F,18,PC71BM,7.5,0.78,13.4,71.8,-0.192722222,-0.096166667,-0.096555556
COc1c2cc(-c3cccs3)sc2c(OC)c2cc(-c3ccc(-c4ccc5c(c4)N(C)C(=O)C5=C4c5ccccc5N(C)C4=O)s3)sc21,15,PC71BM,4.22,0.79,7.87,68,-0.198733333,-0.112133333,-0.0866
COc1c2cc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)sc2c(OC)c2ccsc21,12,PC71BM,2.83,0.69,6.5,63,-0.192166667,-0.105166667,-0.087
CC1(C)c2ccccc2-c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,15,PC71BM,4.5,0.97,9.1,51,-0.201066667,-0.105,-0.096066667
Cc1csc(-c2nc3sc(-c4cc(C)c(-c5cc6c(s5)-c5sccc5[Si]6(C)C)s4)nc3s2)c1,16,PC71BM,5.88,0.73,11.25,71.6,-0.193625,-0.0909375,-0.1026875
Cc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(C)C(c6ccc(-c7ccc(C8=S=C(C)C=C8)s7)s6)=C5C(=O)N4C)s3)s2)s1,18,PC71BM,3,0.75,9.2,44,-0.183,-0.106722222,-0.076277778
Cc1csc(-c2cc(C)c(-c3scc4c3C(=O)N(C)C4=O)s2)c1,4,PC71BM,5,0.94,9.1,58,-0.215,-0.084,-0.131
COc1c(OC)c(-c2cc3sc(-c4cc5c(s4)c(-c4ccc(C)s4)c4ccsc4c5-c4ccc(C)s4)cc3s2)c2nsnc2c1-c1cc2sccc2s1,18,PC71BM,6.3,0.8,11.83,66.6,-0.192777778,-0.105,-0.087777778
CC1(C)c2ccsc2-c2sc(-c3c4nsnc4cc(F)c3F)cc21,2,PC71BM,5.6,0.85,12.6,52,-0.2065,-0.104,-0.1025
COC(=O)c1sc2c(-c3ccc(-c4cc5c(s4)c(-c4cc(F)c(C)s4)c4ccsc4c5-c4cc(F)c(C)s4)s3)sc(-c3cccs3)c2c1F,17,PC71BM,8.6,0.78,15.2,72.4,-0.198529412,-0.100764706,-0.097764706
Cc1nc(-c2nc(C)c(-c3ccc(-c4ccc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)s4)s3)s2)sc1-c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1,20,PC71BM,2.61,0.84,7.72,40.2,-0.18735,-0.09305,-0.0943
Cc1ccc(C2(c3ccc(C)cc3)c3ccsc3-c3cc4c(cc32)-c2sc(-c3cncc5nc6c7ccsc7c7sccc7c6nc53)cc2C4(c2ccc(C)cc2)c2ccc(C)cc2)cc1,14,PC71BM,3.21,0.74,10.1,43,-0.197714286,-0.106,-0.091714286
Cc1cc(-c2cc(C)c(C3=S=CC=C3)s2)sc1-c1ccc(-c2cccc3nsnc32)s1,17,PC71BM,6.26,0.722,12.3,70.5,-0.193470588,-0.101,-0.092470588
C[Si]1(C)c2cc(-c3cnc(-c4cccs4)c4nsnc43)sc2-c2sc(-c3cnc(-c4cccs4)c4nsnc43)cc21,10,PC71BM,,,,,-0.196,-0.12,-0.076
Cc1ccsc1-c1nc2sc(-c3sc(-c4ccc5c6ccccc6n(C)c5c4)cc3C)nc2s1,18,PC71BM,4.88,0.86,9.15,62,-0.199777778,-0.086388889,-0.113388889
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nccnc45)s3)cc21,14,PC71BM,0.48,0.61,2.7,29,-0.199285714,-0.094214286,-0.105071429
Cc1ccsc1-c1nc2sc(-c3sc(-c4cc5c(s4)c(C#C[Si](C)(C)C)c4ccsc4c5C#C[Si](C)(C)C)cc3C)nc2s1,18,PC71BM,4.33,0.89,9.77,49.8,-0.201944444,-0.098,-0.103944444
COc1cc2c3ccsc3c3sc(-c4sc(-c5ccc(-c6cc(C)cs6)c6nsnc65)cc4C)cc3c2cc1OC,14,PC71BM,5.27,0.64,13.5,62,-0.195285714,-0.105714286,-0.089571429
CN1C(=O)C2=C(c3cc4sc(-c5cccs5)cc4s3)N(C)C(=O)C2=C1c1cc2sccc2s1,13,PC71BM,5.4,0.58,15,61,-0.191538462,-0.106,-0.085538462
CN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)s3)N(C)C(=O)C2=C1c1ccc(-c2cc3ccccc3o2)s1,16,PC71BM,4.4,0.92,10,48,-0.1929375,-0.110875,-0.0820625
Cc1ccsc1-c1ccc(-c2sc(-c3ccc4c(c3)N(C)C(=O)C4=C3c4ccccc4N(C)C3=O)cc2C)s1,18,PC71BM,6.3,0.7,13.1,69,-0.196,-0.110055556,-0.085944444
CC1(C)c2ccsc2-c2cc3c(cc21)-c1sc(-c2cccc4nsnc42)cc1C3(C)C,5,PC71BM,4.46,0.79,11.45,49,-0.1968,-0.098,-0.0988
COc1c2cc(-c3cc4c(s3)-c3sc(C5=NC6SC(c7cc8c(s7)-c7sccc7[Si]8(C)C)=NC6S5)cc3[Si]4(C)C)sc2c(OC)c2ccsc21,17,PC71BM,5.3,0.69,11.6,66,-0.198058824,-0.088235294,-0.109823529
Cc1ccc(-c2ccc(-c3ncc(-c4cc5c(s4)-c4sc(-c6cnc(-c7ccc(-c8ccc(C)s8)s7)c7nsnc76)cc4[Si]5(C)C)c4nsnc43)s2)s1,16,PC71BM,3.2,0.7,10.9,42,-0.1876875,-0.119,-0.0686875
Cn1c2ccccc2c2ccc(-c3ccc(-c4ccc(-c5cccs5)c5nsnc54)s3)cc21,16,PC71BM,4.88,0.86,9.15,62,-0.2004375,-0.104,-0.0964375
CN1C(=O)c2csc(-c3cc4c(s3)-c3sccc3[Si]4(C)C)c2C1=O,2,PC71BM,7.3,0.88,12.2,68,-0.2115,-0.089,-0.1225
COc1c2ccsc2c(OC)c2cc(-c3scc4sc(S(C)(=O)=O)cc43)sc21,18,PC71BM,6.22,0.76,14.1,58,-0.205111111,-0.088833333,-0.116277778
Cc1c2ccsc2c2sc(-c3ccc(C4=C5C(=O)N(C)C(c6cccs6)=C5C(=O)N4C)s3)cc2c1C,14,PC71BM,4.4,0.72,10,62,-0.192,-0.104357143,-0.087642857
